"species","i","j"
"Lemna minor",1,1
"Lemna minor",2,1
"Lemna minor",3,1
"Lemna minor",4,1
"Lemna minor",5,1
"Lemna minor",6,2
"Lemna minor",7,2
"Lemna minor",8,2
"Lemna minor",9,2
"Lemna minor",10,2
"Lemna minor",11,2
"Lemna minor",12,3
"Lemna minor",13,3
"Lemna minor",14,3
"Lemna minor",15,3
"Lemna minor",16,3
"Lemna minor",17,3
"Lemna minor",18,4
"Lemna minor",19,4
"Lemna minor",20,4
"Lemna minor",21,4
"Lemna minor",22,4
"Lemna minor",23,4
"Lemna minor",24,4
"Lemna minor",25,4
"Lemna minor",26,4
"Lemna minor",27,4
"Lemna minor",28,4
"Lemna minor",29,4
"Lemna minor",30,4
